PathCode,StudentNum,TrainingNum,PredictorsNum,Target,Accuracy,Error
1100,77,54,12,m2012,0.434782608695652,0.565217391304348
1100,77,54,12,m2013,0.695652173913043,0.304347826086957
1100,77,54,12,m2014,0.608695652173913,0.391304347826087
1100,77,54,12,m2015,0.478260869565217,0.521739130434783
1100,77,54,12,m2017,0.565217391304348,0.434782608695652
1100,77,54,12,m2026,0.347826086956522,0.652173913043478
1100,77,54,12,m2070,0.434782608695652,0.565217391304348
1100,77,54,12,m2075,0.478260869565217,0.521739130434783
1100,77,54,12,m2083,0.652173913043478,0.347826086956522
1100,77,54,12,m2084,0.565217391304348,0.434782608695652
0316,72,50,9,m2037,0.681818181818182,0.318181818181818
0316,72,50,9,m2038,0.545454545454545,0.454545454545455
0316,72,50,9,m2039,0.636363636363636,0.363636363636364
0316,72,50,9,m2040,0.454545454545455,0.545454545454545
0316,72,50,9,m2043,0.454545454545455,0.545454545454545
0316,72,50,9,m2044,0.5,0.5
0316,72,50,9,m2051,0.545454545454545,0.454545454545455
0316,72,50,9,m2052,0.454545454545455,0.545454545454545
0690,68,48,8,m2010,0.65,0.35
0690,68,48,8,m2045,0.6,0.4
0690,68,48,8,m2046,0.45,0.55
0690,68,48,8,m2047,0.65,0.35
0690,68,48,8,m2048,0.7,0.3
0690,68,48,8,m2051,0.45,0.55
0690,68,48,8,m2052,0.5,0.5
0690,68,48,8,m2053,0.7,0.3
1112,68,48,10,m2088,0.6,0.4
1112,68,48,10,m2089,0.6,0.4
1112,68,48,10,m2091,0.55,0.45
1112,68,48,10,m2093,0.65,0.35
1112,68,48,10,m2094,0.45,0.55
1112,68,48,10,m2096,0.65,0.35
1112,68,48,10,m2098,0.6,0.4
1112,68,48,10,m2099,0.7,0.3
1351,60,42,4,m2006,0.705882352941177,0.294117647058823
1351,60,42,4,m2007,0.411764705882353,0.588235294117647
1351,60,42,4,m2008,0.611111111111111,0.388888888888889
1351,60,42,4,m2009,0.5,0.5
1351,60,42,4,m2010,0.611111111111111,0.388888888888889
1351,60,42,4,m2011,0.722222222222222,0.277777777777778
1351,60,42,4,m2012,0.555555555555556,0.444444444444444
1351,60,42,4,m2013,0.647058823529412,0.352941176470588
0116,55,38,6,m2054,0.705882352941177,0.294117647058823
0116,55,38,6,m2056,0.647058823529412,0.352941176470588
0116,55,38,6,m2057,0.882352941176471,0.117647058823529
0116,55,38,6,m2064,0.588235294117647,0.411764705882353
0116,55,38,6,m2065,0.705882352941177,0.294117647058823
0116,55,38,6,m2083,0.529411764705882,0.470588235294118
0233,55,38,6,m2089,0.647058823529412,0.352941176470588
0233,55,38,6,m2091,0.588235294117647,0.411764705882353
0233,55,38,6,m2092,0.705882352941177,0.294117647058823
0233,55,38,6,m2094,0.352941176470588,0.647058823529412
0233,55,38,6,m2104,0.529411764705882,0.470588235294118
0233,55,38,6,m2108,0.470588235294118,0.529411764705882
0233,55,38,6,m2109,0.529411764705882,0.470588235294118
