PathCode,StudentNum,TrainingNum,PredictorsNum,Target,H,R2,MSE,RMSE,PredR2,PredMSE,PredRMSE
1100,77,39,12,m2075,2,0.617291491968663,131.510318359418,11.467794834205,-1.07091071297388,281.808277096669,11.467794834205
1100,77,39,12,m2083,1,0.421650069720174,151.601448917058,12.3126540159731,0.392102270507081,98.1071091828516,12.3126540159731
1100,77,39,12,m2084,3,0.507668760827837,133.648671929173,11.5606518816706,-0.040744502621507,255.598193367828,11.5606518816706
0316,72,36,9,m2037,4,0.403276492010712,59.3058446937132,7.70102880748496,0.142987054258275,61.7562820426325,7.70102880748496
0316,72,36,9,m2038,4,0.165117376236597,58.3251835439157,7.63709261066773,-0.180212990936145,105.780246997541,7.63709261066773
0316,72,36,9,m2039,1,0.150692747459895,47.484532570836,6.89090215942993,-0.859603564084469,86.8480970300937,6.89090215942993
0316,72,36,9,m2040,8,-2.0650731001181,275.005169816152,16.5832798268663,-9.99535679574543,310.505241083158,16.5832798268663
0316,72,36,9,m2043,6,-0.370892490169821,113.195946881214,10.6393583867268,-0.723260214804025,104.552760759752,10.6393583867268
0316,72,36,9,m2044,1,0.364794168967554,39.3161041219898,6.27025550691435,0.302811936061049,52.8206386706145,6.27025550691435
0316,72,36,9,m2051,2,0.233369905404194,23.71347780259,4.86964863235429,-0.10471542066364,21.4848889560059,4.86964863235429
0316,72,36,9,m2052,1,0.471706505449355,26.0963126756464,5.10845501846169,-0.979691137691149,120.155799299205,5.10845501846169
0690,68,34,8,m2010,5,0.353505727289441,147.533236688935,12.1463260572461,-1.56708517881288,417.529986620968,12.1463260572461
0690,68,34,8,m2045,3,0.789859280195654,37.9336720120171,6.15903174305971,-2.0838616895373,456.442368668416,6.15903174305971
0690,68,34,8,m2046,5,-0.0283751296232957,238.651529108055,15.4483503685039,-11.5024118367247,1819.6947868057,15.4483503685039
0690,68,34,8,m2047,1,0.527872966449994,93.0845822712947,9.64803515081152,-0.0647594946955106,187.344433091675,9.64803515081152
0690,68,34,8,m2048,3,0.378853337347087,48.3511093761439,6.95349619803908,0.142655733144804,69.1105213511974,6.95349619803908
0690,68,34,8,m2051,7,0.187301529802793,41.0286182705095,6.40535855909015,-1.90764774732808,257.210519728642,6.40535855909015
0690,68,34,8,m2052,4,0.585320464246685,71.3783293284865,8.44856966169342,0.0412315388437988,141.176258984098,8.44856966169342
0690,68,34,8,m2053,1,0.038110600806964,79.2818199346986,8.90403391360897,-1.88712952101649,332.676716882928,8.90403391360897
1112,68,34,10,m2088,9,0.0218839285622162,295.063604681783,17.1774155413957,-0.432295024725107,392.058536380442,17.1774155413957
1112,68,34,10,m2089,5,0.107621406434509,176.054871594222,13.2685670512765,-0.268298805428939,219.602767413007,13.2685670512765
1112,68,34,10,m2091,3,0.339825700311831,107.288603229945,10.3580212024279,-0.631005983089796,321.389728967844,10.3580212024279
1112,68,34,10,m2093,4,NaN,113.043992623738,10.6322148503375,-1.30624152856994,347.919597000061,10.6322148503375
